Identifier,StructureData,,,,,
Entry ID,Collection Temperature,Detector,Collection Date,Diffraction Source General Class,Diffraction Source Make, Model or Name,
"2EC0","197","CCD","2004-11-14","SYNCHROTRON","ESRF BEAMLINE ID14-2"
"2DLC","100","CCD",,"SYNCHROTRON","SPRING-8 BEAMLINE BL38B1"
"2PY9","100","CCD","2005-01-29","SYNCHROTRON","ALS BEAMLINE 8.3.1"
"2OJ7"
"2OJ8"
"2P7D","100","CCD","2006-04-21","SYNCHROTRON","SSRL BEAMLINE BL11-1"
"2P7E","100","CCD","2006-04-12","SYNCHROTRON","SSRL BEAMLINE BL9-1"
"2P7F","100","CCD","2006-04-21","SYNCHROTRON","SSRL BEAMLINE BL11-1"
"2UUC","90","CCD","2005-11-28","SYNCHROTRON","ESRF BEAMLINE ID29"
"2E5L","90","CCD","2005-10-01","SYNCHROTRON","SLS BEAMLINE X06SA"
"2NQP","100","CCD","2004-01-23","SYNCHROTRON","ALS BEAMLINE 8.3.1"
"2NR0","100","CCD","2004-12-12","SYNCHROTRON","ALS BEAMLINE 8.3.1"
"2NRE","100","CCD","2004-01-09","SYNCHROTRON","ALS BEAMLINE 8.3.1"
"2UU9","90","CCD","2005-11-28","SYNCHROTRON","ESRF BEAMLINE ID14-4"
"2UUA","90","CCD","2005-11-28","SYNCHROTRON","ESRF BEAMLINE ID14-4"
"2UUB","90","CCD","2005-11-28","SYNCHROTRON","ESRF BEAMLINE ID14-4"
"2GVO"
"2PCV"
"2PCW"
"2UWM","100","CCD","2005-12-16","SYNCHROTRON","SPRING-8 BEAMLINE BL38B1"
"2UXC","100","CCD","2005-10-28","SYNCHROTRON","ESRF BEAMLINE ID14-4"
"2CD1"
"2CD3"
"2CD5"
"2CD6"
"2GXB","100","CCD","2005-10-21","SYNCHROTRON","APS BEAMLINE 19-ID"
"2OGM",,"CCD","2006-03-08","SYNCHROTRON","APS BEAMLINE 19-ID"
"2OGN",,"CCD","2005-04-09","SYNCHROTRON","APS BEAMLINE 19-ID"
"2OGO",,"CCD","2005-12-05","SYNCHROTRON","APS BEAMLINE 19-ID"
"2YU9","100","CCD","2005-03-15","SYNCHROTRON","SSRL BEAMLINE BL11-1"
"2DQO","100","CCD","2002-10-26","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-18B"
"2DQP","100","CCD","2003-01-25","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-18B"
"2DQQ","100","CCD","2003-12-12","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-18B"
"2HUA"
"2G91","298","IMAGE PLATE","2000-12-15","ROTATING ANODE","RIGAKU RU200"
"2I7E"
"2I7Z"
"2JEA","100","CCD","2006-07-15","SYNCHROTRON","SLS BEAMLINE X06SA"
"2OTJ",100,"CCD","2005-11-20","SYNCHROTRON","NSLS BEAMLINE X29A"

"2OTL","100","CCD","2004-08-08","SYNCHROTRON","NSLS BEAMLINE X29A"
"2P89"
"2OIH","80","CCD","2005-07-28","SYNCHROTRON","ALS BEAMLINE 8.2.1"
"2OJ3","80","CCD","2005-07-28","SYNCHROTRON","ALS BEAMLINE 8.2.1"
"2GV4"
"2OZB","100","CCD","2006-05-03","SYNCHROTRON","MPG/DESY, HAMBURG BEAMLINE BW6"
"2DU3","173","CCD","2006-03-27","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2DU4","173","CCD","2006-03-27","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2DU5","173","CCD","2006-07-03","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2DU6","173","CCD","2006-07-03","SYNCHROTRON","SPRING-8 BEAMLINE BL41XU"
"2OIU","100","CCD","2006-06-14","SYNCHROTRON","SSRL BEAMLINE BL9-1"
"2GRW"
"2OUE","100","CCD","2004-11-28","SYNCHROTRON","CHESS BEAMLINE A1"
