PDB_ID,Experimental_Method,Resolution_(Å)
2MFH,SOLUTION NMR,
2MGZ,SOLUTION NMR,
2MHI,SOLUTION NMR,
2MI0,SOLUTION NMR,
2MIS,SOLUTION NMR,
2MIY,SOLUTION NMR,
2MJH,SOLUTION NMR,
2MKI,SOLUTION NMR,
2MKK,SOLUTION NMR,
2MKN,SOLUTION NMR,
2MN0,SOLUTION NMR,
2MNC,SOLUTION NMR,
2MQO,SOLUTION NMR,
2MQP,SOLUTION NMR,
2MQQ,SOLUTION NMR,
2MQT,SOLUTION NMR,
2MQV,SOLUTION NMR,
2MS0,SOLUTION NMR,
2MS1,SOLUTION NMR,
2MS5,SOLUTION NMR,
2MTJ,SOLUTION NMR,
2MTK,SOLUTION NMR,
2MTV,SOLUTION NMR,
2MVS,SOLUTION NMR,
2MVY,SOLUTION NMR,
2MXJ,SOLUTION NMR,
2MXK,SOLUTION NMR,
2MXL,SOLUTION NMR,
2MXS,SOLUTION NMR,
2MXY,SOLUTION NMR,
2MZ1,SOLUTION NMR,
2N0J,SOLUTION NMR,
2N1Q,SOLUTION NMR,
2N2O,SOLUTION NMR,
2N2P,SOLUTION NMR,
2N3O,SOLUTION NMR,
2N3Q,SOLUTION NMR,
2N3R,SOLUTION NMR,
2N4J,SOLUTION NMR,
2N4L,SOLUTION NMR,
2N6S,SOLUTION NMR,
2N6T,SOLUTION NMR,
2N6W,SOLUTION NMR,
2N6X,SOLUTION NMR,
2N7C,SOLUTION NMR,
2N7M,SOLUTION NMR,
2N7X,SOLUTION NMR,
2N82,SOLUTION NMR,
2N8L,SOLUTION NMR,
2N8M,SOLUTION NMR,
2N8V,SOLUTION NMR,
2NBX,SOLUTION NMR,
2NBY,SOLUTION NMR,
2NBZ,SOLUTION NMR,
2NC0,SOLUTION NMR,
2NC1,SOLUTION NMR,
2NCI,SOLUTION NMR,
2NCQ,SOLUTION NMR,
2NCR,SOLUTION NMR,
2O32,SOLUTION NMR,
2O33,SOLUTION NMR,
2O81,SOLUTION NMR,
2O83,SOLUTION NMR,
2OJ7,SOLUTION NMR,
2OJ8,SOLUTION NMR,
2OOM,SOLUTION NMR,
2P89,SOLUTION NMR,
2PCV,SOLUTION NMR,
2PCW,SOLUTION NMR,
2PN9,SOLUTION NMR,
2QH2,SOLUTION NMR,
2QH3,SOLUTION NMR,
2QH4,SOLUTION NMR,
2RLU,SOLUTION NMR,
2RN1,SOLUTION NMR,
2RO2,SOLUTION NMR,
2RP0,SOLUTION NMR,
2RP1,SOLUTION NMR,
2RPK,SOLUTION NMR,
2RPT,SOLUTION NMR,
2RQC,SOLUTION NMR,
2RQJ,SOLUTION NMR,
2RRA,SOLUTION NMR,
2RRC,SOLUTION NMR,
2RS2,SOLUTION NMR,
2RSK,SOLUTION NMR,
2RU3,SOLUTION NMR,
2RU7,SOLUTION NMR,
2RVO,SOLUTION NMR,
2TOB,SOLUTION NMR,
2TPK,SOLUTION NMR,
2U2A,SOLUTION NMR,
2XC7,SOLUTION NMR,
2XEB,SOLUTION NMR,
2XFM,SOLUTION NMR,
2Y95,SOLUTION NMR,
2YH1,SOLUTION NMR,
3PHP,SOLUTION NMR,
484D,SOLUTION NMR,
4A4R,SOLUTION NMR,
4A4S,SOLUTION NMR,
4A4T,SOLUTION NMR,
4A4U,SOLUTION NMR,
4B8T,SOLUTION NMR,
4BS2,SOLUTION NMR,
4BY9,SOLUTION NMR,
4CIO,SOLUTION NMR,
5A17,SOLUTION NMR,
5A18,SOLUTION NMR,
5IEM,SOLUTION NMR,
5J0M,SOLUTION NMR,
5J1O,SOLUTION NMR,
5J2W,SOLUTION NMR,
5KH8,SOLUTION NMR,
5KMZ,SOLUTION NMR,
5KQE,SOLUTION NMR,
5LSN,SOLUTION NMR,
5LWJ,SOLUTION NMR,
5M8I,SOLUTION NMR,
5MPG,SOLUTION NMR,
5MPL,SOLUTION NMR,
5N5C,SOLUTION NMR,
5N8L,SOLUTION NMR,
5N8M,SOLUTION NMR,
5OR0,SOLUTION NMR,
5U9B,SOLUTION NMR,
5UF3,SOLUTION NMR,
5UZT,SOLUTION NMR,
5UZZ,SOLUTION NMR,
5V16,SOLUTION NMR,
5V17,SOLUTION NMR,
5V2R,SOLUTION NMR,
5VH7,SOLUTION NMR,
5VH8,SOLUTION NMR,
5WQ1,SOLUTION NMR,
5X3Z,SOLUTION NMR,
5XI1,SOLUTION NMR,
6AAS,SOLUTION NMR,
6AAU,SOLUTION NMR,
6BY4,SOLUTION NMR,
6BY5,SOLUTION NMR,
6D2U,SOLUTION NMR,
6EZ0,SOLUTION NMR,
6G99,SOLUTION NMR,
6GBM,SOLUTION NMR,
6GE1,SOLUTION NMR,
6GMY,SOLUTION NMR,
6GZK,SOLUTION NMR,
6GZR,SOLUTION NMR,
6HAG,SOLUTION NMR,
6HMI,SOLUTION NMR,
6HMO,SOLUTION NMR,
6HPJ,SOLUTION NMR,
6HYK,SOLUTION NMR,
6I1V,SOLUTION NMR,
6I1W,SOLUTION NMR,
6IZP,SOLUTION NMR,
6K84,SOLUTION NMR,
6MCE,SOLUTION NMR,
6MCF,SOLUTION NMR,
6MCI,SOLUTION NMR,
6MXQ,SOLUTION NMR,
6N8F,SOLUTION NMR,
6N8H,SOLUTION NMR,
6N8I,SOLUTION NMR,
6NOA,SOLUTION NMR,
6PK9,SOLUTION NMR,
6SDW,SOLUTION NMR,
6SDY,SOLUTION NMR,
6SNJ,SOLUTION NMR,
6SO9,SOLUTION NMR,
6U79,SOLUTION NMR,
6VA1,SOLUTION NMR,
6VA2,SOLUTION NMR,
6VA3,SOLUTION NMR,
6VA4,SOLUTION NMR,
6VU1,SOLUTION NMR,
6VVJ,SOLUTION NMR,
6VZC,SOLUTION NMR,
6W3M,SOLUTION NMR,
6WLH,SOLUTION NMR,
6XB7,SOLUTION NMR,
6XWJ,SOLUTION NMR,
6XWW,SOLUTION NMR,
6XXA,SOLUTION NMR,
